"row.names.df_params."	"ModePrior_1"	"MAP_1"	"MaxL_1"	"MeanPost_1"	"VarPost_1"	"CVPost_1"	"MinPost_1"	"MaxPost_1"	"ModePrior_2"	"MAP_2"	"MaxL_2"	"MeanPost_2"	"VarPost_2"	"CVPost_2"	"MinPost_2"	"MaxPost_2"	"ModePrior_3"	"MAP_3"	"MaxL_3"	"MeanPost_3"	"VarPost_3"	"CVPost_3"	"MinPost_3"	"MaxPost_3"	"ModePrior_4"	"MAP_4"	"MaxL_4"	"MeanPost_4"	"VarPost_4"	"CVPost_4"	"MinPost_4"	"MaxPost_4"	"ModePrior_5"	"MAP_5"	"MaxL_5"	"MeanPost_5"	"VarPost_5"	"CVPost_5"	"MinPost_5"	"MaxPost_5"	"ModePrior_6"	"MAP_6"	"MaxL_6"	"MeanPost_6"	"VarPost_6"	"CVPost_6"	"MinPost_6"	"MaxPost_6"
"K"	0.5	0.4572	0.4841	0.4408	0.002694	0.1178	0.3138	0.5222	0.5	0.4572	0.4841	0.4408	0.002694	0.1178	0.3138	0.5222	0.5	0.4572	0.4841	0.4408	0.002694	0.1178	0.3138	0.5222	0.5	0.4572	0.4841	0.4408	0.002694	0.1178	0.3138	0.5222	0.5	0.4572	0.4841	0.4408	0.002694	0.1178	0.3138	0.5222	0.5	0.4572	0.4841	0.4408	0.002694	0.1178	0.3138	0.5222
"LAICR"	3.796	5.221	5.538	4.54	0.5206	0.1589	3.527	5.747	3.796	5.221	5.538	4.54	0.5206	0.1589	3.527	5.747	3.796	5.221	5.538	4.54	0.5206	0.1589	3.527	5.747	3.796	5.221	5.538	4.54	0.5206	0.1589	3.527	5.747	3.796	5.221	5.538	4.54	0.5206	0.1589	3.527	5.747	3.796	5.221	5.538	4.54	0.5206	0.1589	3.527	5.747
"LAIEFT"	0.2	0.2581	0.2879	0.2257	0.001872	0.1917	0.1575	0.3011	0.2	0.2581	0.2879	0.2257	0.001872	0.1917	0.1575	0.3011	0.2	0.2581	0.2879	0.2257	0.001872	0.1917	0.1575	0.3011	0.2	0.2581	0.2879	0.2257	0.001872	0.1917	0.1575	0.3011	0.2	0.2581	0.2879	0.2257	0.001872	0.1917	0.1575	0.3011	0.2	0.2581	0.2879	0.2257	0.001872	0.1917	0.1575	0.3011
"LAITIL"	0.5665	0.5676	0.6399	0.5565	0.002065	0.08166	0.4405	0.6655	0.5665	0.5676	0.6399	0.5565	0.002065	0.08166	0.4405	0.6655	0.5665	0.5676	0.6399	0.5565	0.002065	0.08166	0.4405	0.6655	0.5665	0.5676	0.6399	0.5565	0.002065	0.08166	0.4405	0.6655	0.5665	0.5676	0.6399	0.5565	0.002065	0.08166	0.4405	0.6655	0.5665	0.5676	0.6399	0.5565	0.002065	0.08166	0.4405	0.6655
"LFWIDG"	0.008521	0.01001	0.01077	0.00887	1.473e-06	0.1368	0.006805	0.01136	0.008521	0.01001	0.01077	0.00887	1.473e-06	0.1368	0.006805	0.01136	0.008521	0.01001	0.01077	0.00887	1.473e-06	0.1368	0.006805	0.01136	0.008521	0.01001	0.01077	0.00887	1.473e-06	0.1368	0.006805	0.01136	0.008521	0.01001	0.01077	0.00887	1.473e-06	0.1368	0.006805	0.01136	0.008521	0.01001	0.01077	0.00887	1.473e-06	0.1368	0.006805	0.01136
"LFWIDV"	0.004919	0.003129	0.003038	0.004466	7.461e-07	0.1934	0.002822	0.005893	0.004919	0.003129	0.003038	0.004466	7.461e-07	0.1934	0.002822	0.005893	0.004919	0.003129	0.003038	0.004466	7.461e-07	0.1934	0.002822	0.005893	0.004919	0.003129	0.003038	0.004466	7.461e-07	0.1934	0.002822	0.005893	0.004919	0.003129	0.003038	0.004466	7.461e-07	0.1934	0.002822	0.005893	0.004919	0.003129	0.003038	0.004466	7.461e-07	0.1934	0.002822	0.005893
"NELLVM"	2.092	2.562	2.802	2.499	0.06588	0.1027	2.048	2.997	2.092	2.562	2.802	2.499	0.06588	0.1027	2.048	2.997	2.092	2.562	2.802	2.499	0.06588	0.1027	2.048	2.997	2.092	2.562	2.802	2.499	0.06588	0.1027	2.048	2.997	2.092	2.562	2.802	2.499	0.06588	0.1027	2.048	2.997	2.092	2.562	2.802	2.499	0.06588	0.1027	2.048	2.997
"PHENCR"	0.4952	0.4368	0.3817	0.4249	0.001821	0.1004	0.3319	0.5125	0.4952	0.4368	0.3817	0.4249	0.001821	0.1004	0.3319	0.5125	0.4952	0.4368	0.3817	0.4249	0.001821	0.1004	0.3319	0.5125	0.4952	0.4368	0.3817	0.4249	0.001821	0.1004	0.3319	0.5125	0.4952	0.4368	0.3817	0.4249	0.001821	0.1004	0.3319	0.5125	0.4952	0.4368	0.3817	0.4249	0.001821	0.1004	0.3319	0.5125
"PHY"	63.05	40.45	51.76	47.25	44.44	0.1411	36.72	63.51	63.05	40.45	51.76	47.25	44.44	0.1411	36.72	63.51	63.05	40.45	51.76	47.25	44.44	0.1411	36.72	63.51	63.05	40.45	51.76	47.25	44.44	0.1411	36.72	63.51	63.05	40.45	51.76	47.25	44.44	0.1411	36.72	63.51	63.05	40.45	51.76	47.25	44.44	0.1411	36.72	63.51
"RDRSCO"	0.07122	0.0871	0.0834	0.08143	1.555e-05	0.04843	0.07114	0.08971	0.07122	0.0871	0.0834	0.08143	1.555e-05	0.04843	0.07114	0.08971	0.07122	0.0871	0.0834	0.08143	1.555e-05	0.04843	0.07114	0.08971	0.07122	0.0871	0.0834	0.08143	1.555e-05	0.04843	0.07114	0.08971	0.07122	0.0871	0.0834	0.08143	1.555e-05	0.04843	0.07114	0.08971	0.07122	0.0871	0.0834	0.08143	1.555e-05	0.04843	0.07114	0.08971
"RDRSMX"	0.06	0.05518	0.04885	0.05167	1.852e-05	0.08328	0.04258	0.06323	0.06	0.05518	0.04885	0.05167	1.852e-05	0.08328	0.04258	0.06323	0.06	0.05518	0.04885	0.05167	1.852e-05	0.08328	0.04258	0.06323	0.06	0.05518	0.04885	0.05167	1.852e-05	0.08328	0.04258	0.06323	0.06	0.05518	0.04885	0.05167	1.852e-05	0.08328	0.04258	0.06323	0.06	0.05518	0.04885	0.05167	1.852e-05	0.08328	0.04258	0.06323
"RDRTEM"	0.001026	0.0006624	0.0009608	0.0007752	1.483e-08	0.1571	0.0005405	0.001096	0.001026	0.0006624	0.0009608	0.0007752	1.483e-08	0.1571	0.0005405	0.001096	0.001026	0.0006624	0.0009608	0.0007752	1.483e-08	0.1571	0.0005405	0.001096	0.001026	0.0006624	0.0009608	0.0007752	1.483e-08	0.1571	0.0005405	0.001096	0.001026	0.0006624	0.0009608	0.0007752	1.483e-08	0.1571	0.0005405	0.001096	0.001026	0.0006624	0.0009608	0.0007752	1.483e-08	0.1571	0.0005405	0.001096
"RGENMX"	0.01088	0.0161	0.01807	0.01535	2.709e-06	0.1072	0.01071	0.01847	0.01088	0.0161	0.01807	0.01535	2.709e-06	0.1072	0.01071	0.01847	0.01088	0.0161	0.01807	0.01535	2.709e-06	0.1072	0.01071	0.01847	0.01088	0.0161	0.01807	0.01535	2.709e-06	0.1072	0.01071	0.01847	0.01088	0.0161	0.01807	0.01535	2.709e-06	0.1072	0.01071	0.01847	0.01088	0.0161	0.01807	0.01535	2.709e-06	0.1072	0.01071	0.01847
"ROOTDM"	0.7611	0.5136	0.5735	0.7008	0.01199	0.1563	0.5084	0.9576	0.7611	0.5136	0.5735	0.7008	0.01199	0.1563	0.5084	0.9576	0.7611	0.5136	0.5735	0.7008	0.01199	0.1563	0.5084	0.9576	0.7611	0.5136	0.5735	0.7008	0.01199	0.1563	0.5084	0.9576	0.7611	0.5136	0.5735	0.7008	0.01199	0.1563	0.5084	0.9576	0.7611	0.5136	0.5735	0.7008	0.01199	0.1563	0.5084	0.9576
"RRDMAX"	0.012	0.009865	0.007128	0.009326	2.535e-06	0.1707	0.006288	0.01234	0.012	0.009865	0.007128	0.009326	2.535e-06	0.1707	0.006288	0.01234	0.012	0.009865	0.007128	0.009326	2.535e-06	0.1707	0.006288	0.01234	0.012	0.009865	0.007128	0.009326	2.535e-06	0.1707	0.006288	0.01234	0.012	0.009865	0.007128	0.009326	2.535e-06	0.1707	0.006288	0.01234	0.012	0.009865	0.007128	0.009326	2.535e-06	0.1707	0.006288	0.01234
"RUBISC"	5.78	6.286	6.857	6.109	0.3202	0.09262	5.069	7.306	5.78	6.286	6.857	6.109	0.3202	0.09262	5.069	7.306	5.78	6.286	6.857	6.109	0.3202	0.09262	5.069	7.306	5.78	6.286	6.857	6.109	0.3202	0.09262	5.069	7.306	5.78	6.286	6.857	6.109	0.3202	0.09262	5.069	7.306	5.78	6.286	6.857	6.109	0.3202	0.09262	5.069	7.306
"SHAPE"	0.5389	0.5177	0.5603	0.487	0.001515	0.07993	0.3958	0.573	0.5389	0.5177	0.5603	0.487	0.001515	0.07993	0.3958	0.573	0.5389	0.5177	0.5603	0.487	0.001515	0.07993	0.3958	0.573	0.5389	0.5177	0.5603	0.487	0.001515	0.07993	0.3958	0.573	0.5389	0.5177	0.5603	0.487	0.001515	0.07993	0.3958	0.573	0.5389	0.5177	0.5603	0.487	0.001515	0.07993	0.3958	0.573
"SIMAX1T"	0.004504	0.007714	0.008243	0.007013	7.844e-07	0.1263	0.004377	0.008535	0.004504	0.007714	0.008243	0.007013	7.844e-07	0.1263	0.004377	0.008535	0.004504	0.007714	0.008243	0.007013	7.844e-07	0.1263	0.004377	0.008535	0.004504	0.007714	0.008243	0.007013	7.844e-07	0.1263	0.004377	0.008535	0.004504	0.007714	0.008243	0.007013	7.844e-07	0.1263	0.004377	0.008535	0.004504	0.007714	0.008243	0.007013	7.844e-07	0.1263	0.004377	0.008535
"SLAMAX"	0.06	0.07819	0.08268	0.07847	4.699e-05	0.08736	0.05689	0.08693	0.06	0.07819	0.08268	0.07847	4.699e-05	0.08736	0.05689	0.08693	0.06	0.07819	0.08268	0.07847	4.699e-05	0.08736	0.05689	0.08693	0.06	0.07819	0.08268	0.07847	4.699e-05	0.08736	0.05689	0.08693	0.06	0.07819	0.08268	0.07847	4.699e-05	0.08736	0.05689	0.08693	0.06	0.07819	0.08268	0.07847	4.699e-05	0.08736	0.05689	0.08693
"TBASE"	3.611	2.53	3.497	2.858	0.1175	0.1199	2.336	3.611	3.611	2.53	3.497	2.858	0.1175	0.1199	2.336	3.611	3.611	2.53	3.497	2.858	0.1175	0.1199	2.336	3.611	3.611	2.53	3.497	2.858	0.1175	0.1199	2.336	3.611	3.611	2.53	3.497	2.858	0.1175	0.1199	2.336	3.611	3.611	2.53	3.497	2.858	0.1175	0.1199	2.336	3.611
"TCRES"	1.89	2.835	3.005	2.723	0.15	0.1422	1.861	3.311	1.89	2.835	3.005	2.723	0.15	0.1422	1.861	3.311	1.89	2.835	3.005	2.723	0.15	0.1422	1.861	3.311	1.89	2.835	3.005	2.723	0.15	0.1422	1.861	3.311	1.89	2.835	3.005	2.723	0.15	0.1422	1.861	3.311	1.89	2.835	3.005	2.723	0.15	0.1422	1.861	3.311
"TOPTGE"	12.62	10.83	10.73	12.02	1.553	0.1037	10.2	14.91	12.62	10.83	10.73	12.02	1.553	0.1037	10.2	14.91	12.62	10.83	10.73	12.02	1.553	0.1037	10.2	14.91	12.62	10.83	10.73	12.02	1.553	0.1037	10.2	14.91	12.62	10.83	10.73	12.02	1.553	0.1037	10.2	14.91	12.62	10.83	10.73	12.02	1.553	0.1037	10.2	14.91
"TRANCO"	8	11.16	10.35	10.53	0.5806	0.07237	8	11.63	8	11.16	10.35	10.53	0.5806	0.07237	8	11.63	8	11.16	10.35	10.53	0.5806	0.07237	8	11.63	8	11.16	10.35	10.53	0.5806	0.07237	8	11.63	8	11.16	10.35	10.53	0.5806	0.07237	8	11.63	8	11.16	10.35	10.53	0.5806	0.07237	8	11.63
"YG"	0.8418	0.8102	0.8011	0.8165	0.0003383	0.02252	0.7861	0.8594	0.8418	0.8102	0.8011	0.8165	0.0003383	0.02252	0.7861	0.8594	0.8418	0.8102	0.8011	0.8165	0.0003383	0.02252	0.7861	0.8594	0.8418	0.8102	0.8011	0.8165	0.0003383	0.02252	0.7861	0.8594	0.8418	0.8102	0.8011	0.8165	0.0003383	0.02252	0.7861	0.8594	0.8418	0.8102	0.8011	0.8165	0.0003383	0.02252	0.7861	0.8594
"LAT"	58.46	58.46	58.46	58.46	0	0	58.46	58.46	58.46	58.46	58.46	58.46	0	0	58.46	58.46	58.46	58.46	58.46	58.46	0	0	58.46	58.46	58.46	58.46	58.46	58.46	0	0	58.46	58.46	58.46	58.46	58.46	58.46	0	0	58.46	58.46	58.46	58.46	58.46	58.46	0	0	58.46	58.46
"WCI"	0.3	0.3	0.3	0.3	0	0	0.3	0.3	0.3	0.3	0.3	0.3	0	0	0.3	0.3	0.3	0.3	0.3	0.3	0	0	0.3	0.3	0.3	0.3	0.3	0.3	0	0	0.3	0.3	0.3	0.3	0.3	0.3	0	0	0.3	0.3	0.3	0.3	0.3	0.3	0	0	0.3	0.3
"FWCAD"	0.01136	0.01136	0.01136	0.01136	0	0	0.01136	0.01136	0.01136	0.01136	0.01136	0.01136	0	0	0.01136	0.01136	0.01136	0.01136	0.01136	0.01136	0	0	0.01136	0.01136	0.01136	0.01136	0.01136	0.01136	0	0	0.01136	0.01136	0.01136	0.01136	0.01136	0.01136	0	0	0.01136	0.01136	0.01136	0.01136	0.01136	0.01136	0	0	0.01136	0.01136
"FWCWP"	0.07741	0.08637	0.07869	0.09538	0.0001834	0.142	0.07078	0.1231	0.07741	0.08637	0.07869	0.09538	0.0001834	0.142	0.07078	0.1231	0.07741	0.08637	0.07869	0.09538	0.0001834	0.142	0.07078	0.1231	0.07741	0.08637	0.07869	0.09538	0.0001834	0.142	0.07078	0.1231	0.07741	0.08637	0.07869	0.09538	0.0001834	0.142	0.07078	0.1231	0.07741	0.08637	0.07869	0.09538	0.0001834	0.142	0.07078	0.1231
"FWCFC"	0.6498	0.5738	0.5303	0.5574	0.001844	0.07704	0.4742	0.6543	0.6498	0.5738	0.5303	0.5574	0.001844	0.07704	0.4742	0.6543	0.6498	0.5738	0.5303	0.5574	0.001844	0.07704	0.4742	0.6543	0.6498	0.5738	0.5303	0.5574	0.001844	0.07704	0.4742	0.6543	0.6498	0.5738	0.5303	0.5574	0.001844	0.07704	0.4742	0.6543	0.6498	0.5738	0.5303	0.5574	0.001844	0.07704	0.4742	0.6543
"FWCWET"	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	1
"WCST"	0.44	0.44	0.44	0.44	0	0	0.44	0.44	0.44	0.44	0.44	0.44	0	0	0.44	0.44	0.44	0.44	0.44	0.44	0	0	0.44	0.44	0.44	0.44	0.44	0.44	0	0	0.44	0.44	0.44	0.44	0.44	0.44	0	0	0.44	0.44	0.44	0.44	0.44	0.44	0	0	0.44	0.44
"WpoolMax"	50	50	50	50	0	0	50	50	50	50	50	50	0	0	50	50	50	50	50	50	0	0	50	50	50	50	50	50	0	0	50	50	50	50	50	50	0	0	50	50	50	50	50	50	0	0	50	50
"Dparam"	0.001895	0.001895	0.001895	0.001895	0	0	0.001895	0.001895	0.001895	0.001895	0.001895	0.001895	0	0	0.001895	0.001895	0.001895	0.001895	0.001895	0.001895	0	0	0.001895	0.001895	0.001895	0.001895	0.001895	0.001895	0	0	0.001895	0.001895	0.001895	0.001895	0.001895	0.001895	0	0	0.001895	0.001895	0.001895	0.001895	0.001895	0.001895	0	0	0.001895	0.001895
"FGAS"	0.4175	0.4175	0.4175	0.4175	0	0	0.4175	0.4175	0.4175	0.4175	0.4175	0.4175	0	0	0.4175	0.4175	0.4175	0.4175	0.4175	0.4175	0	0	0.4175	0.4175	0.4175	0.4175	0.4175	0.4175	0	0	0.4175	0.4175	0.4175	0.4175	0.4175	0.4175	0	0	0.4175	0.4175	0.4175	0.4175	0.4175	0.4175	0	0	0.4175	0.4175
"FO2MX"	0.2008	0.2008	0.2008	0.2008	0	0	0.2008	0.2008	0.2008	0.2008	0.2008	0.2008	0	0	0.2008	0.2008	0.2008	0.2008	0.2008	0.2008	0	0	0.2008	0.2008	0.2008	0.2008	0.2008	0.2008	0	0	0.2008	0.2008	0.2008	0.2008	0.2008	0.2008	0	0	0.2008	0.2008	0.2008	0.2008	0.2008	0.2008	0	0	0.2008	0.2008
"gamma"	68.86	68.86	68.86	68.86	0	0	68.86	68.86	68.86	68.86	68.86	68.86	0	0	68.86	68.86	68.86	68.86	68.86	68.86	0	0	68.86	68.86	68.86	68.86	68.86	68.86	0	0	68.86	68.86	68.86	68.86	68.86	68.86	0	0	68.86	68.86	68.86	68.86	68.86	68.86	0	0	68.86	68.86
"Hparam"	0.008262	0.008262	0.008262	0.008262	0	0	0.008262	0.008262	0.008262	0.008262	0.008262	0.008262	0	0	0.008262	0.008262	0.008262	0.008262	0.008262	0.008262	0	0	0.008262	0.008262	0.008262	0.008262	0.008262	0.008262	0	0	0.008262	0.008262	0.008262	0.008262	0.008262	0.008262	0	0	0.008262	0.008262	0.008262	0.008262	0.008262	0.008262	0	0	0.008262	0.008262
"KRDRANAER"	0.6396	0.6396	0.6396	0.6396	0	0	0.6396	0.6396	0.6396	0.6396	0.6396	0.6396	0	0	0.6396	0.6396	0.6396	0.6396	0.6396	0.6396	0	0	0.6396	0.6396	0.6396	0.6396	0.6396	0.6396	0	0	0.6396	0.6396	0.6396	0.6396	0.6396	0.6396	0	0	0.6396	0.6396	0.6396	0.6396	0.6396	0.6396	0	0	0.6396	0.6396
"KRESPHARD"	0.02244	0.02244	0.02244	0.02244	0	0	0.02244	0.02244	0.02244	0.02244	0.02244	0.02244	0	0	0.02244	0.02244	0.02244	0.02244	0.02244	0.02244	0	0	0.02244	0.02244	0.02244	0.02244	0.02244	0.02244	0	0	0.02244	0.02244	0.02244	0.02244	0.02244	0.02244	0	0	0.02244	0.02244	0.02244	0.02244	0.02244	0.02244	0	0	0.02244	0.02244
"KRSR3H"	1	0.853	0.8493	0.8954	0.002141	0.05167	0.7771	1	1	0.853	0.8493	0.8954	0.002141	0.05167	0.7771	1	1	0.853	0.8493	0.8954	0.002141	0.05167	0.7771	1	1	0.853	0.8493	0.8954	0.002141	0.05167	0.7771	1	1	0.853	0.8493	0.8954	0.002141	0.05167	0.7771	1	1	0.853	0.8493	0.8954	0.002141	0.05167	0.7771	1
"KRTOTAER"	1.775	1.775	1.775	1.775	0	0	1.775	1.775	1.775	1.775	1.775	1.775	0	0	1.775	1.775	1.775	1.775	1.775	1.775	0	0	1.775	1.775	1.775	1.775	1.775	1.775	0	0	1.775	1.775	1.775	1.775	1.775	1.775	0	0	1.775	1.775	1.775	1.775	1.775	1.775	0	0	1.775	1.775
